degC,kPa,vf,vg,uf ,ug ,hf ,hfg,hg ,sf ,sfg,sg , 
-40,51.2,0.0007054,0.3611,-0.04,207.37,0.00,225.86,225.86,0.0000,0.9687,0.9687,
-36,62.9,0.0007112,0.2977,4.99,209.66,5.04,223.35,228.39,0.0214,0.9418,0.9632,
-32,76.7,0.0007172,0.2473,10.05,211.96,10.10,220.82,230.92,0.0425,0.9157,0.9582,
-28,92.7,0.0007234,0.2068,15.13,214.26,15.20,218.23,233.43,0.0634,0.8902,0.9536,
-26,101.7,0.0007265,0.1896,17.69,215.41,17.76,216.92,234.68,0.0738,0.8777,0.9515,
-24,111.3,0.0007297,0.1741,20.25,216.55,20.33,215.60,235.93,0.0841,0.8653,0.9495,
-22,121.7,0.0007329,0.1601,22.82,217.70,22.91,214.26,237.17,0.0944,0.8531,0.9476,
-20,132.7,0.0007362,0.1474,25.39,218.85,25.49,212.92,238.41,0.1046,0.8411,0.9457,
-18,144.6,0.0007396,0.1359,27.98,219.99,28.09,211.55,239.64,0.1148,0.8292,0.9440,
-16,157.3,0.0007430,0.1255,30.57,221.13,30.69,210.18,240.87,0.1249,0.8174,0.9423,
-14,170.8,0.0007464,0.1161,33.17,222.27,33.30,208.79,242.09,0.1350,0.8057,0.9407,
-12,185.2,0.0007499,0.1074,35.78,223.41,35.92,207.39,243.31,0.1451,0.7941,0.9392,
-10,200.6,0.0007535,0.0996,38.40,224.54,38.55,205.97,244.52,0.1550,0.7827,0.9377,
-8,216.9,0.0007571,0.0924,41.03,225.67,41.19,204.53,245.72,0.1650,0.7714,0.9364,
-6,234.3,0.0007608,0.0859,43.67,226.80,43.84,203.08,246.92,0.1749,0.7602,0.9351,
-4,252.7,0.0007646,0.0799,46.31,227.93,46.50,201.61,248.11,0.1848,0.7490,0.9338,
-2,272.2,0.0007684,0.0744,48.97,229.05,49.17,200.12,249.29,0.1946,0.7380,0.9326,
0,292.8,0.0007723,0.0693,51.63,230.17,51.86,198.60,250.46,0.2044,0.7271,0.9315,
2,314.6,0.0007763,0.0647,54.30,231.28,54.55,197.07,251.62,0.2142,0.7162,0.9304,
4,337.7,0.0007804,0.0604,56.99,232.39,57.25,195.53,252.78,0.2239,0.7055,0.9294,
6,362.0,0.0007845,0.0564,59.68,233.49,59.97,193.95,253.92,0.2336,0.6948,0.9284,
8,387.6,0.0007887,0.0528,62.39,234.58,62.69,192.36,255.05,0.2432,0.6842,0.9274,
12,443.0,0.0007975,0.0463,67.83,236.76,68.19,189.11,257.29,0.2625,0.6632,0.9256,
16,504.3,0.0008066,0.0408,73.32,238.91,73.73,185.74,259.47,0.2816,0.6424,0.9240,
20,571.7,0.0008161,0.0360,78.86,241.02,79.32,182.28,261.60,0.3006,0.6218,0.9224,
24,645.8,0.0008261,0.0319,84.45,243.11,84.98,178.70,263.68,0.3196,0.6014,0.9210,
26,685.4,0.0008313,0.0300,87.26,244.13,87.83,176.87,264.70,0.3290,0.5912,0.9203,
28,726.9,0.0008367,0.0283,90.09,245.15,90.70,175.00,265.69,0.3385,0.5811,0.9196,
30,770.2,0.0008421,0.0266,92.93,246.16,93.58,173.09,266.67,0.3479,0.5710,0.9189,
32,815.4,0.0008478,0.0251,95.79,247.15,96.48,171.16,267.64,0.3573,0.5609,0.9182,
34,862.6,0.0008536,0.0237,98.66,248.13,99.40,169.18,268.58,0.3667,0.5508,0.9175,
36,911.9,0.0008595,0.0224,101.55,249.10,102.33,167.17,269.50,0.3761,0.5407,0.9168,
38,963.2,0.0008657,0.0211,104.46,250.05,105.29,165.12,270.41,0.3855,0.5307,0.9162,
40,1016.6,0.0008720,0.0200,107.38,250.99,108.27,163.01,271.28,0.3949,0.5206,0.9155,
42,1072.2,0.0008786,0.0189,110.32,251.91,111.26,160.88,272.14,0.4043,0.5105,0.9147,
44,1130.1,0.0008854,0.0178,113.28,252.81,114.28,158.69,272.97,0.4136,0.5004,0.9140,
48,1252.9,0.0008997,0.0160,119.26,254.56,120.39,154.16,274.55,0.4324,0.4800,0.9125,
52,1385.4,0.0009150,0.0143,125.33,256.23,126.60,149.41,276.01,0.4513,0.4595,0.9108,
56,1528.2,0.0009317,0.0128,131.49,257.79,132.92,144.40,277.32,0.4702,0.4387,0.9089,
60,1681.8,0.0009498,0.0114,137.76,259.24,139.36,139.13,278.49,0.4892,0.4176,0.9068,
70,2116.8,0.0010038,0.0087,154.01,262.19,156.14,124.37,280.51,0.5376,0.3624,0.9000,
80,2633.2,0.0010773,0.0064,171.41,263.69,174.25,106.42,280.67,0.5880,0.3013,0.8894,
90,3244.2,0.0011936,0.0046,190.91,262.30,194.78,82.49,277.27,0.6434,0.2271,0.8706,
100,3972.4,0.0015357,0.0027,219.05,248.89,225.15,34.39,259.54,0.7232,0.0921,0.8153,
101.06,4059.1,0.0019535,0.0020,233.57,233.57,241.49,0.00,241.49,0.7665,0.0000,0.7665,
